НАЗВА,КРАЇНА ,Програма,Ступінь ,Ціна,Початок навчання,Стипендії,Тривалість,Форма навчання,Опис прог
Oxford Brookes University,Велика Британія,Mathematical Sciences,Бакалавр,?,Вересень,?,3-4 роки,Денна,"Цей курс розвине ваші логічні, аналітичні та здатності вирішувати проблеми. Зокрема, він зосереджений на підвищенні рівня обізнаності про використання математичних наук як інструментів вирішення проблем у широкому діапазоні прикладних областей."
Oxford Brookes University,Велика Британія,Mathematics,Бакалавр,?,Вересень,?,3-4 роки,Денна,"З недавніми розробками цифрових технологій суспільство вступило в еру ""великих даних"". Завдяки цій революції в галузі обробки даних надзвичайно зростає попит на випускників із передовими математичними знаннями. Роботодавці визнають, що математичні знання та навички моделювання є надзвичайно важливими для вирішення багатьох сучасних проблем, з якими стикається світ, і можуть бути застосовані майже до будь-якої галузі. Вивчення математики в Оксфорд Брукс допоможе вам вирішити ці проблеми.

Наш ступінь математики дає вам міцні теоретичні знання з математики та реальних застосувань, забезпечуючи гарний баланс основних математичних принципів, статистики та програмування.

Ви також отримаєте міцні ключові навички на робочому місці, такі як:

вирішення проблем
робота в команді
спілкування
управління часом
самомотивація.
Ви також можете взяти робоче місце, що забезпечує безцінний реальний досвід.

Проходження цього курсу може призвести до широкого кола кар’єрних можливостей, зокрема;

наука даних
банківська справа
актуарні науки."
Oxford Brookes University,Велика Британія,Mechanical Engineering,Бакалавр,?,Вересень,?,3-5 років,Денна,"(FdEng) в галузі машинобудування розроблений Коледжем Соліхалл та Оксфордським університетом Брукса, щоб забезпечити вас навичками та знаннями, необхідними для технічної або управлінської кар'єри в машинобудуванні.

Ця програма пропонує гнучкі схеми навчання. Це дозволяє студентам, які мають відповідну кваліфікацію рівня 3 з предмета машинобудування або еквівалент, отримати FdEng з машинобудування. За бажанням ви можете перейти на ступінь бакалавра (з відзнакою) в галузі машинобудування та пройти практику в якості об'єднаного інженера (IEng). Програма бакалавра (з відзнакою) спрямована на задоволення зростаючого попиту в галузі на працівників, які мають відповідні професійні знання та навички. Це допоможе вам просунутися на робочому місці або продовжити навчання до курсу вищого рівня."
Oxford Brookes University,Велика Британія,Motorsport Engineering,Бакалавр,?,Вересень,?,3-5 років,Денна,"Якщо ви любите автоспорт, тоді наш ступінь інженера з автоспорту для вас. Ви дізнаєтесь інженерні принципи, характерні для автоспорту.

Ви будете вивчати:

математика
інженерне проектування та управління
динаміка
терморідини
аналіз стресу.
Наша автоматизована лабораторія має спеціалізоване обладнання, що включає випробувальну установку з чотирма стійками, амортизатор dyno та високошвидкісні контрольно-вимірювальні клітини двигуна.

Ми працюємо з місцевою індустрією автоспорту, щоб сформувати зміст курсу. Це означає, що ви матимете навички сприяти цій захоплюючій галузі. Компанії, які пропонують роботу та можливості працевлаштування, включають:

Mercedes GP
Вільямс
Макларен
Форс Індія
Red Bull Racing
AP Гонки.
Наші випускники продовжують працювати з компаніями Формули 1 як:

гоночні інженери
дизайнери
інженери шасі або трансмісії."
Oxford Brookes University,Велика Британія,Motorsport Technology,Бакалавр,?,Вересень,?,3-4 роки,Денна,"Наш курс Motorsport Technology перетворює вас на кваліфікованого об'єднаного інженера. І ви дізнаєтесь, як перетворити ідеї на добре підготовлені проектні пропозиції.

В основі нашого курсу лежить проектування, побудова виробництва та маркетинг модельного двигуна Стірлінга. Наш викладацький склад має активні наукові інтереси, і ви будете вивчати цікаві теми, такі як;

технології автоспорту
автоматизоване проектування
гоночний та дорожній дизайн автомобілів
аеродинаміка
шасі
силовий агрегат
підвіска
динаміка шин
моделювання часу кола
CAD / CAM
бізнес та управління
гоночний дизайн двигуна.
Ви матимете доступ до таких спеціалізованих закладів, як;

чотирипостова установка
демпфер дино
високошвидкісні контрольно-вимірювальні комірки двигуна.
Наша програма працевлаштування була схвалена професійними органами як зразок досконалості. І наші студенти мають відмінний досвід працевлаштування у своїй працевлаштування після закінчення навчання. Інші випускники знайшли роботу у галузі автоспорту у Великобританії;

згуртування
F1
Індикар
гастрольні автомобільні перегони."
Oxford Brookes University,Велика Британія,Environmental Impact Assessment and Management,Магістратура,£7350,Вересень чи січень,?,1-5 років,Онлайн,"Ми розробили нашу Environmental Impact Assessment в тісній консультації з промисловістю. Ви отримаєте знання та набір навичок, необхідні для ефективної роботи з різними зацікавленими сторонами проекту та мультидисциплінарними командами.

Курс орієнтований на тих, хто прагне розвинути кар'єру практикуючих, які працюють у:

екологічна консультація
місцевий уряд
контролюючі органи
законні консультанти
екологічні НУО
великі девелоперські компанії
інженерні фірми.
Ви навчитеся розробляти інноваційні рішення, які максимізують потенціал стійких результатів, шляхом:

спираючись на новітні концепції в цій галузі
використання потенціалу цифрових технологій.
Наше вчення інформується про останні досягнення в теорії та практиці. Ми маємо тісні зв’язки із спільнотою професійних практиків. Це дозволяє нам сформувати дизайн курсу та внести реальний досвід у програму."
Oxford Brookes University,Велика Британія,Building Information Modelling and Management,Магістратура,£7350,Вересень чи січень,?,1-5 років,Онлайн,"Наш курс з інформаційного моделювання будівель та управління забезпечує гнучку та інноваційну програму навчання. Курс стосується швидкозростаючих потреб сектору побудованого навколишнього середовища щодо появи Інформаційного моделювання будівель (BIM) як робочої практики.

Ви будете працювати над реальними проблемами чи проблемами, заснованими на реальності. Як досвід у будівельному секторі та пов'язаних з ним галузях, консультанти та клієнти.

Під час навчання ви відчуєте поведінкові аспекти управління проектами. Більшість керівників будівельних проектів стикаються з цим лише тоді, коли їх кар’єра просувається вперед.

Магістр доступний як:

однорічна денна програма
режим дистанційного навчання, який зазвичай приймається протягом двох років (можна продовжити до 5 років).
До вступу у вересні 2016 року ця програма називалася Управління будівельними проектами та BIM."
Oxford Brookes University,Велика Британія,Infrastructure and Sustainable Development,Магістратура,£7550,Вересень чи січень,?,12-24 міс,Онлайн,"Наше планування інфраструктури та сталий розвиток пропонує новий підхід до вивчення планування та реалізації інфраструктури. Він розроблений для того, щоб зробити крок, необхідний для вирішення проблем сталого розвитку 21 століття.

Курс ідеально підходить, якщо ви маєте або шукаєте кар’єру в галузі планування інфраструктури та міжнародного розвитку в:

уряд
приватний сектор
НУО
багатосторонні та двосторонні агенції розвитку.
Залучаючи нові та інноваційні думки щодо інфраструктури, ви навчитесь реагувати на імперативи міст, що швидко зростають. Завдяки цьому можна досягти подолання бідності, екологічної стійкості та місцевого економічного зростання.

Наше основне викладання пропонує унікальну суміш теоретичних перспектив та практичних навичок, що охоплюють:

управління
людський розвиток
екологічна стійкість
фінанси
планування програми / проекту.
Ви будете готові до більш цілісних підходів до прийняття рішень та вирішення проблем. Таким чином, ви можете забезпечити інфраструктуру, яка забезпечує як інклюзивний, так і сталий розвиток."
Oxford Brookes University,Велика Британія,Computing,Магістратура,£14850,Вересень ,?,12-24 міс,Денна,"Якщо ваш перший ступінь не в галузі обчислювальної техніки, але ви хочете перейти до ІТ, то наша акредитована BCS магістра в галузі обчислювальної техніки ідеально підходить для вас.

Наш курс ґрунтується на реальному та галузевому досвіді. Це забезпечує основу для початку кар’єри в обчислювальній техніці та ІТ. Ми навчимо вас основ:

програмування
апаратне забезпечення
мереж
розробка програмного забезпечення.
Ви отримаєте надійні знання щодо розробки комп'ютерного програмного забезпечення для цілого ряду проблемних областей, таких як:

інтерактивні веб-сайти
автономні програми
мережеві системи.
Наш викладацький склад має великий досвід наукових досліджень та викладання в університетах. А також широкий діапазон попередніх промислових та комерційних фонів.

Через акцент на побудові та управлінні системою програмного забезпечення та організації даних, ця кваліфікація застосовується до найрізноманітніших галузей, пов’язаних із використанням комп’ютерів. А також безпосередньо до самої комп’ютерної індустрії."
Oxford Brookes University,Велика Британія,Computer Science for Cyber Security,Магістратура,£14851,Вересень ,?,12-24 міс,Денна,"Наш курс MSc Computer Science для кібербезпеки забезпечить вас передовими технічними навичками, необхідними для створення сучасних захищених систем. Курс ґрунтується на знаннях, отриманих з першого ступеня. Він призначений для нещодавно випускників та тих, хто має значний досвід у обчислювальній галузі.
 
Наші викладачі мають широкий досвід. Ми робимо акцент на живих проектах, поряд із груповою роботою за зразком стандартних галузевих схем роботи.
 
Ви будете використовувати стандартні інструменти галузі в наших лабораторіях безпеки, серверів та мереж. Ці лабораторії забезпечують вам безпечний простір для практики як наступальних, так і захисних технік безпеки.
 
Уряд Великобританії виділив кіберзагрози як одну з чотирьох основних загроз для Великобританії. Зростає потреба захищати людей, бізнес та дані від зловмисних атак. Попитом користуються особи, досвідчені в галузі інформатики та кібербезпеки, які можуть розробляти та створювати безпечне програмне забезпечення та системи.

Ми з гордістю повідомляємо, що цей курс отримав повну сертифікацію GCHQ, золотий стандарт для курсів з кібербезпеки."
University of Cambridge ,Велика Британія,Chemical Engineering (via Engineering),Бакалавр,"9,250 £",Вересень ,?,4 роки,Денна,"Наш курс концентрується на наукових принципах, які лежать в основі сучасної хімічної та біохімічної інженерії.

Мета полягає у випуску випускників, які відповідають потребам сучасних переробних виробництв, забезпечуючи глибоке розуміння предмету, технічної компетентності та переданих навичок. Основна теорія доповнюється низкою лекцій та проектів, які навчають проектуванню процесів та проектуванню хімічних продуктів.

Ми маємо міцні зв’язки з промисловістю. Курс підтримується консорціумом промислових компаній, які надають інформацію про зміст та допомагають у навчанні. Ці посилання також означають, що є можливості для відпочинку у деяких провідних світових компаніях."
University of Cambridge ,Велика Британія,Chemical Engineering (via Natural Sciences),Бакалавр,"9,250 £",Вересень ,?,4 роки,Денна,"Наш курс концентрується на наукових принципах, які лежать в основі сучасної хімічної та біохімічної інженерії.

Мета полягає у випуску випускників, які відповідають потребам сучасних переробних виробництв, забезпечуючи глибоке розуміння предмету, технічної компетентності та переданих навичок. Основна теорія доповнюється низкою лекцій та проектів, які навчають проектуванню процесів та проектуванню хімічних продуктів.

Ми маємо міцні зв’язки з промисловістю. Курс підтримується консорціумом промислових компаній, які надають інформацію про зміст та допомагають у навчанні. Ці посилання також означають, що є можливості для відпочинку у деяких провідних світових компаніях."
University of Cambridge ,Велика Британія,Education with Geography,Бакалавр,"9,250 £",Вересень ,?,3 роки,Денна,"Ширший світ

Усі суспільства покладаються на взаємини між собою та фізичне середовище. Це все частіше крихкі взаємозалежності, що представляють інтелектуальні та практичні виклики. Наш курс географії вирішує ці питання на широкій основі, але також дозволяє спеціалізуватися.

Послуги та ресурси

У нас є одна з найбільших у Великобританії географічних бібліотек, яка містить близько 20 000 книг, журналів та періодичних видань, а Інститут досліджень полярних наук Скотта є невід’ємною частиною Департаменту. Існують великі обчислювальні ресурси, де ви отримуєте офіційне викладання з географічних інформаційних технологій, включаючи географічні інформаційні системи та дистанційне зондування, а інтранет Департаменту надає додаткові онлайн-ресурси."
University of Cambridge ,Велика Британія,Education with Mathematics,Бакалавр,"9,250 £",Вересень ,?,3 роки,Денна,"Два аспекти курсу, які наші студенти дуже цінують, - це його гнучкість та широта пропонованих предметів. Кількість вибору збільшується з кожним роком, і після 1-го року ви можете вибрати кількість варіантів, які ви вивчаєте. Деякі студенти беруть якомога більше варіантів; інші беруть менше і вивчають їх дуже ретельно.

Ця структура дозволяє вам залишати свої варіанти відкритими, даючи вам можливість виявити свої сильні сторони, розширити свої знання та розвинути свої інтереси перед спеціалізацією."
University of Cambridge ,Велика Британія,Education with Physical Sciences,Бакалавр,"9,250 £",Вересень ,?,3 роки,Денна,"Гнучкість курсу дозволяє брати суто біологічні науки, суто фізичні науки або їх поєднання відповідно до ваших інтересів.

Багато студентів виявляють пристрасть до нових предметів, які вони починають на першому курсі, таких як Науки про Землю або Матеріалознавство, і продовжують їх у наступні роки.

Більшість студентів вивчають одну просунуту тему в 3-му році (Частина II) і беруть участь у дослідницькому проекті або дисертації в цій галузі. Як варіант, ви можете взяти ширший варіант як у біологічних, так і у фізичних науках."
University of Cambridge ,Велика Британія,Natural Sciences,Бакалавр,"9,250 £",Вересень ,?,3 роки,Денна,"Природні науки (NST) - це рамка, в якій більшість предметів природничих наук викладається в Кембриджі. Курс пропонує біологічні та фізичні науки, перелічені на цих сторінках, а також можливість спеціалізації або вивчення ряду предметів.

Природні науки (NST) пропонує широкий спектр предметів фізичної та біологічної науки з 16 кафедр в унікальному та вимогливому курсі. Широкий перший рік поєднується зі збільшенням спеціалізації на другому курсі та можливістю загальної спеціалізації з третього року.

Широта курсу відображає стирання меж між різними науками, і перед тим, як взяти участь в одній кафедрі, ви вивчаєте різноманітні предмети, деякі з яких можуть бути для вас новими. Це означає, що ви можете передумати, з якого предмету спеціалізуватися."
University of Cambridge ,Велика Британія,Geography,Бакалавр,"9,250 £",Вересень ,?,3 роки,Денна,"Ширший світ

Усі суспільства покладаються на взаємини між собою та фізичне середовище. Це все частіше крихкі взаємозалежності, що представляють інтелектуальні та практичні виклики. Наш курс географії вирішує ці питання на широкій основі, але також дозволяє спеціалізуватися.

Послуги та ресурси

У нас є одна з найбільших у Великобританії географічних бібліотек, яка містить близько 20 000 книг, журналів та періодичних видань, а Інститут досліджень полярних наук Скотта є невід’ємною частиною Департаменту. Існують великі обчислювальні ресурси, де ви отримуєте офіційне викладання з географічних інформаційних технологій, включаючи географічні інформаційні системи та дистанційне зондування, а інтранет Департаменту надає додаткові онлайн-ресурси."
